Experiment,Time Step,Input String,Uniform Entropy,Board Entropy,Herding
3,27,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
3,28,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
3,29,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
3,30,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
3,31,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
3,32,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
3,33,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
3,34,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
3,35,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
3,36,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
3,37,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
3,38,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
3,39,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
3,40,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
3,41,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
3,42,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
3,43,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
3,44,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
3,45,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
3,46,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
3,47,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
3,48,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
3,49,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
3,50,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
4,1,scientistIncentives citation 1,6.643856189774724,5.403856189774725,0.1866385973116682
4,2,scientistIncentives citation 1,6.643856189774724,4.988758439731456,0.24911703425949505
4,3,scientistIncentives citation 1,6.643856189774724,4.282781233674521,0.3553771918985895
4,4,scientistIncentives citation 1,6.643856189774724,0.14144054254182067,0.9787110770459623
4,5,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
4,6,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
4,7,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
4,8,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
4,9,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
4,10,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
4,11,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
4,12,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
4,13,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
4,14,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
4,15,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
4,16,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
4,17,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
4,18,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
4,19,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
4,20,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
4,21,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
4,22,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
4,23,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
4,24,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
4,25,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
4,26,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
4,27,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
4,28,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
4,29,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
4,30,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
4,31,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
4,32,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
4,33,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
4,34,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
4,35,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
4,36,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
4,37,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
4,38,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
4,39,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
4,40,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
4,41,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
4,42,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
4,43,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
4,44,scientistIncentives citation 1,6.643856189774724,-0.0,1.0
